Date ,ID,Level,Spread,Leak Status ,Address,SMS No.,DMA,Lat,Lon,A
20/04/2022,1720868,8,5,0,30 Greenwich Park St_ London_ SE10 9LT,4.47452E+13,DMA - ZRIVSE04,51.48347027,-0.000313674,3
20/04/2022,1721246,8,3,0," 6 Park Row, London SE10 9NG, UK",4.47624E+11,DMA - ZRIVSE04,51.48202692,-0.002424863,5
20/04/2022,1722041,11,5,0," Albion Court, Azof St, Greenwich, London SE10 0EP, UK",4.47452E+13,DMA - ZRIVSE04,51.4888333,0.007383786,6
20/04/2022,1721081,16,4,0," 1 Kossuth St, London SE10 0AA, UK",4.47924E+13,DMA - ZRIVSE04,51.48669533,0.00331036,12
20/04/2022,1722637,14,5,0,"36 Banning St, Greenwich, London SE10 0NY, UK",4.47452E+13,DMA - ZRIVSE04,51.48751489,0.003081286,9
20/04/2022,1721446,8,3,0," Arches Leisure Centre, Greenwich, London SE10, UK",4.47452E+13,DMA - ZRIVSE04,51.48298249,0.001447997,5
20/04/2022,1722452,21,11,0,79 Trafalgar Rd_Greenwich SE10 9TS,4.47624E+13,DMA - ZRIVSE04,51.48392803,0.000687198,10
20/04/2022,1722397,18,6,0," 52 Tuskar St, Greenwich, London SE10 9UZ, UK",4.47452E+13,DMA - ZRIVSE04,51.48384201,0.00504026,12
20/04/2022,1721897,9,3,0," 1 Feathers Pl, London SE10 9NE, UK",4.47452E+13,DMA - ZRIVSE04,51.48172045,-0.001591419,6
20/04/2022,1720125,15,2,0," 6 Woodlands Park Rd, Greenwich, London SE10 9XE, UK",4.47452E+13,DMA - ZRIVSE04,51.48310533,0.003945016,13
20/04/2022,1722622,10,3,0," 34 Caradoc St, Greenwich, London SE10 9AG, UK",4.47624E+13,DMA - ZRIVSE04,51.48623036,0.002785837,7
20/04/2022,1721398,9,14,0," 16 Trenchard St, Greenwich, London SE10 9PA, UK",4.47924E+13,DMA - ZRIVSE04,51.48404189,0.000127596,-5
20/04/2022,1721937,14,4,0," 88 Old Woolwich Rd, Greenwich, London SE10 9PN, UK",4.47452E+13,DMA - ZRIVSE04,51.48450956,0.000644736,10
20/04/2022,1722083,18,15,0," Cygnet House, Woodland Cres, Greenwich, London SE10 9UF, UK",4.47452E+13,DMA - ZRIVSE04,51.4843156,0.002036132,3
20/04/2022,1721197,9,3,0," 20 Woodlands Park Rd, Greenwich, London SE10 9XE, UK",4.47452E+13,DMA - ZRIVSE04,51.48343967,0.003324529,6
20/04/2022,1721342,11,5,0," 30 Tuskar St, Greenwich, London SE10 9UJ, UK",4.47925E+13,DMA - ZRIVSE04,51.4839339,0.003399497,6
20/04/2022,1721814,18,10,0," 58 Greenwich park street, London SE10 9LT, UK",4.47624E+13,DMA - ZRIVSE04,51.48286195,0.000290519,8
20/04/2022,1722454,8,3,0," 12 Park Vista, Greenwich, London SE10 9LZ, UK",4.47925E+13,DMA - ZRIVSE04,51.48231267,0.000731573,5
20/04/2022,1722493,16,9,0," Romney road Greenwich, London SE10, UK",4.47925E+13,DMA - ZRIVSE03,51.48217069,-0.005043559,7
20/04/2022,1714808,8,3,0," 97 Vanbrugh Hill, London SE10 9HB, UK",4.47452E+13,DMA - ZRIVSE04,51.4844314,0.008331288,5
20/04/2022,1721680,10,4,0," 22 Crooms Hill, Greenwich, London SE10 8ER, UK",4.47452E+13,DMA - ZRIVSE03,51.47869765,-0.007379763,6
20/04/2022,1721821,18,6,0," 9 Roan St, Greenwich, London SE10 9JY, UK",4.47925E+13,DMA - ZRIVSE03,51.48014699,-0.010353662,12
20/04/2022,1722800,19,5,0," 47 Eastney St, London SE10 9NR, UK",4.47452E+13,DMA - ZRIVSE04,51.48374377,-0.002642148,14
20/04/2022,1721245,15,18,0," Eastney St, London SE10, UK",4.47925E+13,DMA - ZRIVSE04,51.4831441,-0.002387522,-3
20/04/2022,1722253,25,3,1," 22 Crane St, London SE10 9NP, UK",4.47452E+13,DMA - ZRIVSE04,51.48481013,-0.003317108,22
20/04/2022,1722459,9,4,0," 59 Lassell St, Greenwich, London SE10 9PJ, UK",4.47924E+13,DMA - ZRIVSE04,51.48521576,0.000795466,5
20/04/2022,1722377,8,3,0," 11 Park Row, London SE10 9NG, UK",4.47452E+13,DMA - ZRIVSE04,51.48281742,-0.003006717,5
20/04/2022,1722457,12,4,0," 25 Enderby St, London SE10 9PF",4.47452E+13,DMA - ZRIVSE04,51.48630537,0.000814401,8
20/04/2022,1721384,37,6,1," 50 Mauritius Rd, London SE10 0EQ, UK",8.8236E+14,DMA - ZRIVSE04,51.48911901,0.006250063,31
20/04/2022,1711200,12,4,0," 23A Blackheath Rd, Greenwich, London SE10 8PE, UK",4.47924E+13,DMA - ZRIVSE03,51.47373142,-0.019606277,8
20/04/2022,1722404,29,3,1," 7 Whitworth St, London SE10 9EN, UK",4.47925E+13,DMA - ZRIVSE04,51.48606232,0.005304837,26
20/04/2022,7045580,9,4,0," 38 Tyler St, Greenwich, London SE10 9EX, UK",8.8236E+14,DMA - ZRIVSE04,51.48379053,0.006736083,5
20/04/2022,1721377,8,2,0," 4 Walnut Tree Rd, London SE10 9EU, UK",4.47925E+13,DMA - ZRIVSE04,51.48410093,0.005938844,6
20/04/2022,1722181,17,7,0," 18 Churchfields, London SE10 9JZ, UK",4.47452E+13,DMA - ZRIVSE03,51.47966841,-0.011427887,10
20/04/2022,1720895,10,5,0," 121 King George St, Greenwich, London SE10 8PX, UK",4.47452E+13,DMA - ZRIVSE03,51.47784716,-0.006343089,5
20/04/2022,9886905,8,4,0," 14 Lindsell St, Greenwich, London SE10 8TE, UK",4.47624E+13,DMA - ZRIVSE03,51.47351194,-0.013822764,4
20/04/2022,1721818,32,3,1,"Meridian House, Royal Hill, Greenwich, London SE10 8RD",4.47924E+13,DMA - ZRIVSE03,51.47809857,-0.010512248,29
20/04/2022,1712541,23,21,0," 5 Greenwich High Rd, Greenwich, London SE10 8JL, UK",4.47624E+13,DMA - ZRIVSE03,51.47439426,-0.021047294,2
20/04/2022,7066859,9,20,0," 45 Egerton Dr, London SE10 8JR, UK",3.19701E+12,DMA - ZRIVSE03,51.47325254,-0.01811084,-11
20/04/2022,8730009,15,10,0,Plume House_ Creek Road_ Greenwich_ London SE10 9RA,4.47924E+13,DMA - ZRIVSE03,51.48150901,-0.014043711,5
20/04/2022,1720232,8,3,0," 32 Christchurch Way, Greenwich, London SE10 9AL, UK",4.47452E+13,DMA - ZRIVSE04,51.48651861,0.004231641,5
20/04/2022,7050823,9,4,0," Norway St, London SE10 9RA, UK",4.47924E+13,DMA - ZRIVSE03,51.48168346,-0.0147134,5
20/04/2022,1721648,13,8,0," 25 king William walk, Greenwich, London SE10 9HX, UK",4.47924E+13,DMA - ZRIVSE03,51.48160088,-0.008394979,5
20/04/2022,1721652,42,6,1," Coltman House, Welland St, Greenwich, London SE10 9DW, UK",4.47452E+13,DMA - ZRIVSE03,51.48295847,-0.011435263,36
20/04/2022,1722356,12,5,0," 57 Greenwich Church St, London SE10, UK",8.8236E+14,DMA - ZRIVSE03,51.48201651,-0.010116128,7
20/04/2022,1719870,17,18,0," Cutty sark North pier, London SE10 9HT, United Kingdom",4.47925E+13,DMA - ZRIVSE03,51.48332281,-0.009459481,-1
20/04/2022,7044631,10,7,0," 29 Eastney St, London SE10 9NR, UK",4.47624E+13,DMA - ZRIVSE04,51.4836017,-0.00253746,3
20/04/2022,1721031,8,2,0," 69 Lassell St, London SE10 9PJ, UK",8.8236E+14,DMA - ZRIVSE04,51.48462469,0.001442189,6
20/04/2022,7044711,13,5,0," 87 Old Woolwich Rd, Greenwich, London SE10 9PP, UK",4.47925E+13,DMA - ZRIVSE04,51.48537933,0.00296168,8
20/04/2022,1719980,19,11,0," 10 Greenwich Church St, London SE10 9BJ, UK",4.47925E+13,DMA - ZRIVSE03,51.48094331,-0.009406781,8
20/04/2022,7045701,-1,-1,0," 65 Colomb St, Greenwich, London SE10 9EZ, UK",4.47452E+13,DMA - ZRIVSE04,51.48386591,0.007481138,0
20/04/2022,1721819,13,4,0," 334 Creek Rd, Greenwich, London SE10 9SW, UK",4.47452E+13,DMA - ZRIVSE03,51.48141797,-0.010383837,9
20/04/2022,1722389,33,8,1," 25 Bellot St, London SE10 0AQ, UK",4.47452E+13,DMA - ZRIVSE04,51.48747359,0.0050773,25
20/04/2022,1722548,10,3,0," 37 Commerell St, Greenwich, London SE10 0EA, UK",4.47452E+13,DMA - ZRIVSE04,51.48731705,0.00660588,7
20/04/2022,7046749,22,16,0," 174 Trafalgar Rd, London SE10 9TZ, UK",4.47925E+13,DMA - ZRIVSE04,51.48509914,0.004571185,6
20/04/2022,1722511,32,7,1," 181-185 Trafalgar Rd, London SE10 9EQ, UK",8.8236E+14,DMA - ZRIVSE04,51.48521164,0.005407189,25
20/04/2022,1722550,9,4,0," 5 Conley St, London, SE10 0AN UK",4.47452E+13,DMA - ZRIVSE04,51.48640297,0.006577231,5
20/04/2022,1716279,16,11,0," 118 Woodlands Park Rd, London SE10 9EZ, UK",4.47925E+13,DMA - ZRIVSE04,51.48332305,0.007883596,5
20/04/2022,1722554,9,4,0," 69 Earlswood St, Greenwich, London SE10 9ET, UK",4.47925E+13,DMA - ZRIVSE04,51.48303334,0.006472378,5
20/04/2022,7044054,12,10,0," 79 Maidenstone Hill, Greenwich, London SE10 8SY, UK",4.47452E+13,DMA - ZRIVSE03,51.47278142,-0.012443773,2
20/04/2022,1721848,18,4,0," 6 Woodland Grove, London SE10 9UL, UK",4.47925E+13,DMA - ZRIVSE04,51.48444045,0.004331987,14
20/04/2022,7190260,8,2,0," 57 Christchurch Way, London SE10 0AB, UK",4.47452E+13,DMA - ZRIVSE04,51.48732068,0.004319157,6
20/04/2022,9867752,8,3,0," 11 Tyler St, London SE10 9EY, UK",4.47452E+13,DMA - ZRIVSE04,51.48422661,0.006389007,5
20/04/2022,8430409,9,3,0," 9 Lovibond Ln, London SE10 9FY, UK",4.47925E+13,DMA - ZRIVSE03,51.47734182,-0.016382597,6
20/04/2022,1720745,8,5,0," 26 Trafalgar Grove, Greenwich, London SE10 9TB, UK",4.47452E+13,DMA - ZRIVSE04,51.48262384,-0.000723755,3
20/04/2022,1722516,8,5,0," 18 Flavell Mews, London SE10 0AZ, UK",4.47452E+13,DMA - ZRIVSE04,51.48756657,0.005582641,3
20/04/2022,7050477,8,6,0," 171 Greenwich High Rd, Greenwich, London SE10 8JA, UK",3.19701E+12,DMA - ZRIVSE03,51.47758864,-0.014364235,2
20/04/2022,7045279,-1,-1,0,"Serica Court, 154 Greenwich High Rd, London SE10 8NZ, UK",8.8236E+14,DMA - ZRIVSE03,51.47858401,-0.010598322,0
20/04/2022,7045275,13,5,0," 2 Trenchard St, Greenwich, London SE10 9PA, UK",4.47452E+13,DMA - ZRIVSE04,51.48392955,-0.000320859,8
20/04/2022,1722037,8,3,0," 68 Tyler St, Greenwich, London SE10 9EX, UK",4.47452E+13,DMA - ZRIVSE04,51.48316123,0.007039695,5
20/04/2022,7377707,11,9,0," 1 Christchurch Way, London SE10, UK",4.47925E+13,DMA - ZRIVSE04,51.48527155,0.004242858,2
20/04/2022,1715275,13,5,0," 36 Colomb St, Greenwich, London SE10 9EU, UK",4.47452E+13,DMA - ZRIVSE04,51.48434317,0.007286076,8
20/04/2022,1722175,8,3,0," 150 Lewisham Rd, London SE13 7LE, UK",4.47452E+13,DMA - ZRIVSE02,51.46851569,-0.012748539,5
20/04/2022,9867755,8,2,0," 8 Walnut Tree Rd, Greenwich, London SE10 9ET, UK",4.47452E+13,DMA - ZRIVSE04,51.48420615,0.006584301,6
20/04/2022,1722391,11,3,0," 32 Bellot St, London SE10 0AQ, UK",4.47452E+13,DMA - ZRIVSE04,51.48832262,0.005176524,8
20/04/2022,1720762,14,9,0," 3 Welland St, Greenwich, London SE10 9EJ, UK",4.47925E+13,DMA - ZRIVSE03,51.48215461,-0.010881051,5
20/04/2022,1722376,11,3,0," Foot Tunnel, Cutty Sark Gardens, London SE10 9HT, United Kingdom",4.47924E+13,DMA - ZRIVSE03,51.48327312,-0.009974465,8
20/04/2022,1721313,10,18,0,National Maritime Museum_ Romney Rd_ Greenwich_ London SE10 9JW,4.47452E+13,DMA - ZRIVSE03,51.48194415,-0.006112084,-8
20/04/2022,1721794,8,2,0," Romney Rd, London SE10 9AT, UK",4.47624E+13,DMA - ZRIVSE03,51.48146991,-0.007001727,6
20/04/2022,1722591,21,3,1," 43 Devonshire Dr, Greenwich, London SE10 8JZ, UK",4.47624E+13,DMA - ZRIVSE03,51.47485577,-0.016109683,18
20/04/2022,7882172,8,3,0," 9 Nevada St, Greenwich, London SE10 9JL, UK",4.47925E+13,DMA - ZRIVSE03,51.47953874,-0.007888041,5
20/04/2022,1722537,30,6,1," Randall Christian Centre, 12 Randall Pl, Greenwich, London SE10 9LA, UK",4.47925E+13,DMA - ZRIVSE03,51.47928734,-0.013540462,24
20/04/2022,1721597,12,4,0," 28 Royal Hill, Greenwich, London SE10 8RT, UK",4.47925E+13,DMA - ZRIVSE03,51.4772917,-0.009710602,8
20/04/2022,1722588,38,6,1," Unit 8, Greenwich Centre Business Park, Norman Rd, Greenwich, London SE10 9QF, UK",4.47924E+13,DMA - ZRIVSE03,51.47833307,-0.01628235,32
